brand,model,rmse,mape
hyundai,sonata,2176.1,34.34
hyundai,sonata fl,0.0,0.0
hyundai,staria,4239.51,7.91
hyundai,terracan,3418.96,84.71
hyundai,trajet,1537.97,103.47
hyundai,tucson,2241.73,8.37
hyundai,veloster,3179.955777994405,0.37600734346142173
hyundai,xg,767.605855892202,0.19023905569172112
ineos,grenadier,5033.216541139473,0.057417422043871805
infiniti,ex,3291.17,38.29
infiniti,fx,4803.17,18.66
infiniti,g,1306.19,5.0
infiniti,m,2692.14,17.79
infiniti,q30,2046.28,9.11
infiniti,q50,2258.7,13.28
infiniti,q60,5417.57,11.01
infiniti,q70,1554.81,7.1
infiniti,qx30,814.81,2.59
infiniti,qx50,2000.0,0.11929824561403508
infiniti,qx70,2708.97120693447,0.13366386448325485
isuzu,d max,12078.355296424537,1.4604750088621055
isuzu,d-max,12041.47,74.02
isuzu,pick up,13500.0,4.7368421052631575
isuzu,rodeo,0.0,0.0
isuzu,trooper,1619.03,54.44
iveco,daily,7152.93,47.66
iveco,massif,10441.689944108131,1.4850008771061403
iveco-pegaso,daily,11856.03,70.77
jaguar,e-pace,3878.38,10.36
jaguar,f-pace,4885.24,13.15
jaguar,f-type,7805.45,11.96
jaguar,i-pace,8688.83,13.94
jaguar,s-type,2451.98,72.82
jaguar,serie xj,5054.92,110.43
jaguar,serie xk,8958.3,30.89
jaguar,x-type,2429.47,37.35
jaguar,xe,4300.85,13.22
jaguar,xf,4232.08,16.59
jaguar,xj,9890.89,60.47
jeep,avenger,2895.73,7.51
jeep,cherokee,4364.75,60.17
jeep,commander,3250.45,20.87
jeep,compass,2330.49,6.52
jeep,gladiator,11424.92,20.77
jeep,grand cherokee,4467.98,29.74
jeep,patriot,3238.29,121.31
jeep,renegade,1947.44,7.41
jeep,wrangler,6591.24,19.61
jeep,wrangler unlimited,5833.52,12.46
kgm,korando,1270.0,0.052998638482324584
kgm,musso,0.0,0.0
kgm,rexton,1087.3004286866726,0.022403826576955572
kgm,tivoli,1105.0,0.05899615374782335
kgm,torres,0.0,0.0
kia,carens,1137.52,21.88
kia,carnival,2010.87,34.52
kia,cee'd sportswagon,2011.52,12.61
kia,cee'd sporty wagon,1762.99,26.55
kia,ceed,1811.48,8.81
kia,ceed tourer,1395.4,3.48
kia,cerato,745.98,30.35
kia,clarus,100.0,0.06274509803921569
kia,e-niro,3229.05,6.51
kia,e-soul,9142.33,67.6
kia,ev6,4148.03,7.38
kia,ev9,2422.31,2.57
kia,joice,0.0,0.0
kia,k2500,1025.0,0.1783328439289385
kia,k2500 frontier,0.0,0.0
kia,magentis,0.0,0.0
kia,niro,2317.33,15.92
kia,niro phev,4750.0,0.17977430555555557
kia,opirus,1721.91,59.06
kia,optima,2588.67,13.18
kia,optima gt,0.0,0.0
kia,optima hïbrido enchufable,3555.0,0.21261261956186361
kia,optima phev,0.0,0.0
kia,optima sw,1155.0,0.07670893319943693
kia,picanto,1384.5,12.42
kia,pride,0.0,0.0
kia,pro_cee'd,2137.89,15.58
kia,pro_cee'd gt,12008.1,1891.71
kia,proceed,3864.21,19.15
kia,rio,1298.51,9.28
kia,sephia ii,244.94897427831782,0.1625
kia,shuma,479.74,31.75
kia,sorento,2871.29,17.71
kia,soul,3622.64,42.45
kia,soul ev,1125.62,5.9
kia,sportage,2203.24,11.34
kia,stinger,6225.72,14.2
kia,stonic,1673.47,6.21
kia,venga,1260.93,16.57
kia,xceed,1825.85,5.67
lada,214,0.0,0.0
lada,niva,1290.01,122.09
lamborghini,gallardo,0.0,0.0
lancia,dedra,0.0,0.0
lancia,delta,5169.17,87.64
lancia,lybra,967.4,30.48
lancia,musa,2287.12,52.33
lancia,phedra,1022.99,25.98
lancia,thema,3682.43,39.77
lancia,voyager,3034.04,17.83
lancia,y,816.496580927726,0.4444444444444444
lancia,ypsilon,1326.83,36.36
lancia,ypsilon elefantino,0.0,0.0
land-rover,defender,14478.82,128.36
land-rover,discovery,9275.73,88.42
land-rover,discovery 4,6716.55,23.4
land-rover,discovery sport,5235.52,47.92
land-rover,freelander,2571.69,38.17
land-rover,range rover,8205.9,31.82
land-rover,range rover evoque,4481.46,12.33
land-rover,range rover sport,8222.62,16.95
land-rover,range rover velar,7215.26,13.51
ldv,maxus,0.0,0.0
lexus,ct,1459.39,6.49
lexus,es,1374.03,2.26
lexus,gs,9587.41,52.09
lexus,gs300,13811.99,126.41
lexus,gs450h,4232.26,28.95
lexus,is,1987.93,9.92
lexus,is200,1799.15,33.82
lexus,is220d,2378.47,29.08
lexus,is250,2486.95,29.98
lexus,is300,6336.52,78.63
lexus,lbx,2774.97,5.2
lexus,lc,0.0,0.0
lexus,ls,36233.8,30.69
lexus,ls400,1131.370849898476,0.1619047619047619
lexus,ls430,0.0,0.0
lexus,ls460,0.0,0.0
lexus,ls600h,8671.458944273578,0.4997309758516187
lexus,nx,3627.22,7.16
lexus,rc,6112.81,14.87
lexus,rx,8704.6,25.48
lexus,rx300,2099.02,41.91
lexus,rx350,100.0,0.014495798319327732
lexus,rx400h,1631.31,15.73
lexus,rz,4502.56,6.86
lexus,sc,0.0,0.0
lexus,sc430,2049.76,12.51
lexus,ux,3209.71,6.78
lotus,elise,0.0,0.0
lotus,emira,0.0,0.0
lotus,exige,0.0,0.0
lynk & co,01,1110.83,2.49
mahindra,goa,0.0,0.0
mahindra,goa pick-up,3174.62891532223,0.6671822020255239
mahindra,pikup,0.0,0.0
mahindra,xuv500,2335.29,8.69
maserati,3200 gt,2450.0,0.08996989966555184
maserati,coupe,1450.5,0.04621987880852361
maserati,ghibli,6045.35,8.63
maserati,grancabrio,21613.314312144623,0.34480668124039315
maserati,granturismo,10236.22,27.08
maserati,grecale,5374.09,5.13
maserati,levante,7883.12,10.64
maserati,quattroporte,18455.59,48.35
maxus,euniq 5,4988.876515698588,0.12129717407758163
maxus,t90,6779.33297276034,0.13258821242539484
mazda,121,0.0,0.0
mazda,323,1134.85,75.67
mazda,626,191.43,8.93
mazda,929,0.0,0.0
mazda,b-2500,1750.0,0.375
mazda,cx-3,1526.34,7.27
mazda,cx-30,2208.44,6.85
mazda,cx-5,1934.65,5.65
mazda,cx-60,6146.31,10.55
mazda,cx-7,1726.19,25.01
mazda,cx-80,0.0,0.0
mazda,cx-9,3754.01,24.21
mazda,mazda2,1357.7,17.35
mazda,mazda3,1858.28,11.92
mazda,mazda5,1421.25,71.51
mazda,mazda6,1729.81,23.96
mazda,mpv,125.0,0.03229166666666666
mazda,mx-30,2013.7,5.9
mazda,mx3,0.0,0.0
mazda,mx5,3674.8,25.59
mazda,mx6,0.0,0.0
mazda,premacy,928.87,53.01
mazda,rx-8,3917.87,34.05
mazda,rx7,0.0,0.0
mercedes-benz,100d,2022.17,71.95
mercedes-benz,140d,1336.6625103842282,0.285663082437276
mercedes-benz,180d,6607.78,51.45
mercedes-benz,190,3259.98,48.91
mercedes-benz,200,6504.54,47.78
mercedes-benz,220,4455.13,57.18
mercedes-benz,230,3021.27,55.07
mercedes-benz,260,6457.28,125.04
mercedes-benz,280,3778.05,103.88
mercedes-benz,300,6508.68,56.58
mercedes-benz,400,4628.31,69.82
mercedes-benz,420,4531.74,226.65
mercedes-benz,500,3152.73,49.89
mercedes-benz,600,4250.0,1.0431818181818182
mercedes-benz,amg gt,62321.99,484.09
mercedes-benz,citan,2548.25,12.35
mercedes-benz,cla,9188.25,15.24
mercedes-benz,clase a,5296.86,13.6
mercedes-benz,clase b,2352.36,10.68
mercedes-benz,clase c,6412.68,22.66
mercedes-benz,clase cl,6398.82,39.49
mercedes-benz,clase cla,4493.93,11.81
mercedes-benz,clase clc,1900.31,31.1
mercedes-benz,clase clk,3424.98,31.14
mercedes-benz,clase cls,4008.96,29.91
mercedes-benz,clase e,6444.17,31.39
mercedes-benz,clase g,19877.86,25.52
mercedes-benz,clase gl,5945.9,27.82
mercedes-benz,clase gla,3759.75,9.15
mercedes-benz,clase glc,5246.23,8.95
mercedes-benz,clase gle,5737.77,11.73
mercedes-benz,clase gle coupe,11579.02,14.23
mercedes-benz,clase glk,3457.95,23.36
mercedes-benz,clase gls,5937.82,9.53
mercedes-benz,clase m,3155.19,24.26
mercedes-benz,clase r,2935.09,35.15
mercedes-benz,clase s,10348.62,39.45
mercedes-benz,clase sl,11898.58,39.97
mercedes-benz,clase sl r129,5845.12,258.64
mercedes-benz,clase slc,16447.33,199.95
mercedes-benz,clase slk,4290.33,27.81
mercedes-benz,clase t,1769.37,2.9
mercedes-benz,clase v,10074.91,15.46
mercedes-benz,clase x,10805.65,27.16
mercedes-benz,cle,8348.95,11.82
mercedes-benz,cls,8390.57,17.55
mercedes-benz,eqa,6450.21,10.85
mercedes-benz,eqb,6859.09,11.46
mercedes-benz,eqc,4656.11,7.02
mercedes-benz,eqe,8990.77,11.14
mercedes-benz,eqe suv,14026.73,15.37
mercedes-benz,eqs,9432.96,6.62
mercedes-benz,eqs suv,11757.93,11.74
mercedes-benz,eqt,4010.44,7.4
mercedes-benz,eqv,13797.88,12.45
mercedes-benz,gla,5311.7,8.54
mercedes-benz,glb,5318.92,6.9
mercedes-benz,glc,6959.3,7.14
mercedes-benz,glc coupe,6146.4,7.96
mercedes-benz,gle,8844.0,8.08
mercedes-benz,gle coupe,8348.04,7.98
mercedes-benz,gls,16913.3,21.38
mercedes-benz,mercedes-amg gt,16214.04,11.34
mercedes-benz,mercedes-amg sl,14319.457915717341,0.4470012626262626
mercedes-benz,sl-klasse,6143.85,68.51
mercedes-benz,sprinter,9996.45,131.19
mercedes-benz,vaneo,962.6,35.41
mercedes-benz,viano,6311.12,30.86
mercedes-benz,vito,7404.4,121.05
mg,ehs,4295.39,28.99
mg,hs,2940.71,7.16
mg,marvel r,3921.3,8.01
mg,mg3 hybrid+,1744.58,5.77
mg,mg4,5149.38,17.37
mg,mg5,2636.0,7.28
mg,mgf,713.8,12.99
mg,tf,1131.370849898476,0.14197637568424085
mg,zr,1523.75,71.48
mg,zs,1488.79,7.43
mg,zs ev,5344.87,17.84
mg,zt,1606.8213964221413,2.8485576923076925
mini,clubman,2593.58,11.0
mini,cooper,4605.75,31.18
mini,countryman,3765.65,10.73
mini,mini,3464.64,20.66
mini,paceman,3982.52,18.73
mitsubishi,3000 gt,706.16,3.86
mitsubishi,asx,1538.38,7.51
mitsubishi,canter,12188.18,37.35
mitsubishi,carisma,699.31,32.67
mitsubishi,colt,3852.25,83.36
mitsubishi,eclipse,5110.75,43.32
mitsubishi,eclipse cross,1944.11,3.75
mitsubishi,galant,1192.424001771182,0.6328125
mitsubishi,grandis,693.75,13.54
mitsubishi,i-miev,0.0,0.0
mitsubishi,l200,4678.71,23.84
mitsubishi,lancer,25702.49,63.99
mitsubishi,montero,3722.25,35.86
mitsubishi,montero io,1196.68,18.71
mitsubishi,montero sport,3513.97,44.41
mitsubishi,outlander,3108.15,10.98
mitsubishi,space gear,745.0,0.07310497581533451
mitsubishi,space star,1951.29,23.9
mitsubishi,space wagon,1703.43,183.06
morgan,04-apr,16995.0,0.7010777467993599
morgan,4,0.0,0.0
morgan,roadster,33028.607129106866,1.4003758642094224
nissan,100 nx,2233.89,57.08
nissan,200 sx,16007.81,710.53
nissan,300 zx,9883.39,51.55
nissan,350z,1675.35,7.61
nissan,370z,12922.15,44.37
nissan,almera,1552.9,56.7
nissan,almera tino,737.67,29.73
nissan,ariya,3317.6,6.31
nissan,cabstar,7395.81,429.44
nissan,cabstar e,3887.76,59.33
nissan,camion,5687.05,73.83
nissan,cube,0.0,0.0
nissan,e-nv200 evalia,3820.62,26.44
nissan,evalia,4958.06,38.32
nissan,gt-r,29159.82,47.67
nissan,juke,1897.95,8.46
nissan,leaf,2814.57,12.95
nissan,maxima qx,765.1471672168694,0.35174535212026875
nissan,micra,1731.57,13.47
nissan,murano,2671.98,27.86
nissan,navara,3620.35,71.26
nissan,note,951.46,12.83
